Date,Avg_Sales
01-01-2018,219797.3
02-01-2018,219797.3
03-01-2018,219797.3
04-01-2018,219797.3
05-01-2018,219797.3
06-01-2018,219797.3
07-01-2018,219797.3
08-01-2018,219797.3
09-01-2018,219797.3
10-01-2018,219797.3
11-01-2018,219797.3
12-01-2018,219797.3
13-01-2018,219797.3
14-01-2018,219797.3
15-01-2018,219797.3
16-01-2018,219797.3
17-01-2018,219797.3
18-01-2018,219797.3
19-01-2018,219797.3
20-01-2018,219797.3
21-01-2018,219797.3
22-01-2018,219797.3
23-01-2018,219797.3
24-01-2018,219797.3
25-01-2018,219797.3
26-01-2018,219797.3
27-01-2018,219797.3
28-01-2018,219797.3
29-01-2018,219797.3
30-01-2018,219797.3
31-01-2018,219784.9
01-02-2018,215303.71
02-02-2018,215303.71
03-02-2018,215303.71
04-02-2018,215303.71
05-02-2018,215303.71
06-02-2018,215303.71
07-02-2018,215303.71
08-02-2018,215303.71
09-02-2018,215303.71
10-02-2018,215303.71
11-02-2018,215303.71
12-02-2018,215303.71
13-02-2018,215303.71
14-02-2018,215303.71
15-02-2018,215303.71
16-02-2018,215303.71
17-02-2018,215303.71
18-02-2018,215303.71
19-02-2018,215303.71
20-02-2018,215303.71
21-02-2018,215303.71
22-02-2018,215303.71
23-02-2018,215303.71
24-02-2018,215303.71
25-02-2018,215303.71
26-02-2018,215303.71
27-02-2018,215303.71
28-02-2018,215303.71
01-03-2018,89386.83
02-03-2018,172625.92
03-03-2018,159138.96
04-03-2018,142711.72
05-03-2018,215564.04
06-03-2018,307899.91
07-03-2018,182760.65
08-03-2018,132683.47
09-03-2018,143303.68
10-03-2018,144360.94
11-03-2018,96460.96
12-03-2018,158486.81
13-03-2018,181143.39
14-03-2018,124675.46
15-03-2018,133707.61
16-03-2018,152968.13
17-03-2018,278992.18
18-03-2018,217358.48
19-03-2018,330885.28
20-03-2018,130025.46
21-03-2018,108767.72
22-03-2018,388363.25
23-03-2018,196442.54
24-03-2018,210628.97
25-03-2018,40366.94
26-03-2018,243202.37
27-03-2018,200640.56
28-03-2018,130013.92
29-03-2018,145924.21
30-03-2018,131442.93
31-03-2018,158487.17
01-04-2018,131885.46
02-04-2018,272657.65
03-04-2018,177215.87
04-04-2018,222759.78
05-04-2018,212987.68
06-04-2018,313866.88
07-04-2018,238335.23
08-04-2018,224495.85
09-04-2018,135199.69
10-04-2018,183314.62
11-04-2018,236481.4
12-04-2018,207025.27
13-04-2018,201815.28
14-04-2018,196850.3
15-04-2018,348315.78
16-04-2018,262775.32
17-04-2018,180260.87
18-04-2018,355172.59
19-04-2018,42017.79
20-04-2018,205583.32
21-04-2018,259040.07
22-04-2018,230360.96
23-04-2018,237806.85
24-04-2018,101994.74
25-04-2018,184098.41
26-04-2018,220718.25
27-04-2018,225456.97
28-04-2018,190020.2
29-04-2018,175314.15
30-04-2018,219682
01-05-2018,202297.98
02-05-2018,185691.83
03-05-2018,196938.1
04-05-2018,167641
05-05-2018,178368.39
06-05-2018,207460.57
07-05-2018,194320.64
08-05-2018,185171.85
09-05-2018,158774.96
10-05-2018,161451.54
11-05-2018,152976.34
12-05-2018,155114.26
13-05-2018,194650.35
14-05-2018,206848.32
15-05-2018,198417.75
16-05-2018,164384.4
17-05-2018,219602.64
18-05-2018,172111.65
19-05-2018,149415.5
20-05-2018,190934.21
21-05-2018,197756.81
22-05-2018,183710.08
23-05-2018,160196.71
24-05-2018,159704.4
25-05-2018,150238.16
26-05-2018,146535.69
27-05-2018,141517.81
28-05-2018,167412.94
29-05-2018,172391.08
30-05-2018,173222.25
31-05-2018,175820.84
01-06-2018,162375.87
02-06-2018,166517.5
03-06-2018,196933.04
04-06-2018,180099.79
05-06-2018,180725.64
06-06-2018,151567.07
07-06-2018,137251.17
08-06-2018,141087.4
09-06-2018,159820.99
10-06-2018,179027.15
11-06-2018,175720.21
12-06-2018,267827.14
13-06-2018,204416.43
14-06-2018,184896.82
15-06-2018,203064.61
16-06-2018,206181.68
17-06-2018,173230.35
18-06-2018,191471.54
19-06-2018,171799.84
20-06-2018,-7199.64
21-06-2018,175039.95
22-06-2018,153629.85
23-06-2018,157715.42
24-06-2018,185967.87
25-06-2018,172229.76
26-06-2018,139215.25
27-06-2018,151954.76
28-06-2018,147609
29-06-2018,141484.74
30-06-2018,141579.33
01-07-2018,149786.65
02-07-2018,145821.89
03-07-2018,126784.04
04-07-2018,115401.96
05-07-2018,147565.64
06-07-2018,131111.45
07-07-2018,132297.83
08-07-2018,134511.87
09-07-2018,120117.33
10-07-2018,122064.76
11-07-2018,114079.53
12-07-2018,119784.33
13-07-2018,256005.61
14-07-2018,109159.93
15-07-2018,221522.25
16-07-2018,602506.97
17-07-2018,425821.97
18-07-2018,203469.83
19-07-2018,133498.54
20-07-2018,161567.41
21-07-2018,158339.76
22-07-2018,142166.27
23-07-2018,147415.52
24-07-2018,162430.3
25-07-2018,136588.34
26-07-2018,130994.14
27-07-2018,109932.25
28-07-2018,137529.08
29-07-2018,154953.08
30-07-2018,141042.66
31-07-2018,186188.95
01-08-2018,162003.52
02-08-2018,158645.85
03-08-2018,169211.47
04-08-2018,79310.76
05-08-2018,158479.65
06-08-2018,134577.85
07-08-2018,142046.1
08-08-2018,133620.64
09-08-2018,110417.57
10-08-2018,106749.6
11-08-2018,120966.67
12-08-2018,249452.12
13-08-2018,258058.11
14-08-2018,198566.19
15-08-2018,186045.02
16-08-2018,162814.31
17-08-2018,186940.25
18-08-2018,155792.42
19-08-2018,153861.61
20-08-2018,166831.03
21-08-2018,138987.94
22-08-2018,153055.95
23-08-2018,134141
24-08-2018,153754.42
25-08-2018,132879.21
26-08-2018,178269.66
27-08-2018,180167.64
28-08-2018,154379.62
29-08-2018,152744.59
30-08-2018,150382.78
31-08-2018,153748.9
01-09-2018,157862.13
02-09-2018,135980.16
03-09-2018,186332.08
04-09-2018,166367.42
05-09-2018,196145.18
06-09-2018,195701.49
07-09-2018,145280.18
08-09-2018,161095.29
09-09-2018,185525.53
10-09-2018,191589.11
11-09-2018,166231.58
12-09-2018,160447.38
13-09-2018,154096.43
14-09-2018,167637.27
15-09-2018,200247.14
16-09-2018,220442.72
17-09-2018,161279.98
18-09-2018,178571.99
19-09-2018,182185.97
20-09-2018,166521.69
21-09-2018,154457.3
22-09-2018,164454.67
23-09-2018,188451
24-09-2018,175267.78
25-09-2018,187409.86
26-09-2018,179492.79
27-09-2018,159125.45
28-09-2018,153546.69
29-09-2018,182439.19
30-09-2018,206455.27
01-10-2018,192050.01
02-10-2018,162711.14
03-10-2018,158535
04-10-2018,140924.41
05-10-2018,148336.16
06-10-2018,150206.69
07-10-2018,166406.03
08-10-2018,181746.85
09-10-2018,146735.91
10-10-2018,115396.82
11-10-2018,112800.73
12-10-2018,128689.42
13-10-2018,135572.85
14-10-2018,161161.04
15-10-2018,166137.79
16-10-2018,147686.52
17-10-2018,175693.44
18-10-2018,253823.59
19-10-2018,108919.61
20-10-2018,148836.17
21-10-2018,172026.53
22-10-2018,175577.52
23-10-2018,168284.59
24-10-2018,160002.26
25-10-2018,179018.85
26-10-2018,159781.08
27-10-2018,303453.95
28-10-2018,249929.64
29-10-2018,219420.2
30-10-2018,188886.09
31-10-2018,381139.78
01-11-2018,140141.48
02-11-2018,106666.65
03-11-2018,134616.64
04-11-2018,158337.58
05-11-2018,178603.98
06-11-2018,191406.47
07-11-2018,191861.58
08-11-2018,167950.58
09-11-2018,144676.32
10-11-2018,151379.87
11-11-2018,174284.75
12-11-2018,202195.32
13-11-2018,190203.53
14-11-2018,194937.38
15-11-2018,216711.51
16-11-2018,256021.15
17-11-2018,257457.42
18-11-2018,170927.21
19-11-2018,181921.65
20-11-2018,198494.51
21-11-2018,150712.03
22-11-2018,194427.79
23-11-2018,239054.02
24-11-2018,189967.78
25-11-2018,245728.43
26-11-2018,291143.7
27-11-2018,163181.74
28-11-2018,186231.92
29-11-2018,149230.78
30-11-2018,169652.34
01-12-2018,177120.88
02-12-2018,263907.15
03-12-2018,198802.16
04-12-2018,251339.56
05-12-2018,291441.21
06-12-2018,226021.5
07-12-2018,203793.26
08-12-2018,203026.11
09-12-2018,211145.15
10-12-2018,226022.34
11-12-2018,171611.63
12-12-2018,242105.8
13-12-2018,188432.31
14-12-2018,165775.13
15-12-2018,208693.25
16-12-2018,295780.47
17-12-2018,186641.99
18-12-2018,149269.11
19-12-2018,184503.6
20-12-2018,34648.75
21-12-2018,174320.71
22-12-2018,156773.69
23-12-2018,145292.13
24-12-2018,149819.96
25-12-2018,135090.07
26-12-2018,237779.48
27-12-2018,190890.89
28-12-2018,171066.33
29-12-2018,187186.62
30-12-2018,151235.28
31-12-2018,158769.35
01-01-2019,302339.68
02-01-2019,286261.62
03-01-2019,242884.42
04-01-2019,210478.49
05-01-2019,229075.05
06-01-2019,232545.57
07-01-2019,310269.59
08-01-2019,374265.86
09-01-2019,228446.5
10-01-2019,204386.72
11-01-2019,173130.8
12-01-2019,193205.68
13-01-2019,214141.46
14-01-2019,235150.04
15-01-2019,243865.02
16-01-2019,264902.64
17-01-2019,289589.59
18-01-2019,194072.03
19-01-2019,200676
20-01-2019,226851.76
21-01-2019,295767.68
22-01-2019,231880.75
23-01-2019,189891.31
24-01-2019,192230.68
25-01-2019,172510.73
26-01-2019,205638
27-01-2019,219009.65
28-01-2019,255004.85
29-01-2019,241646.18
30-01-2019,231043
31-01-2019,197855.05
01-02-2019,193509.32
02-02-2019,169394.8
03-02-2019,221156.76
04-02-2019,185693.05
05-02-2019,166166.42
06-02-2019,168528.16
07-02-2019,258254.27
08-02-2019,136909.65
09-02-2019,124992.88
10-02-2019,202781.16
11-02-2019,175838.6
12-02-2019,251120.7
13-02-2019,419594.49
14-02-2019,288000.21
15-02-2019,191038.88
16-02-2019,173893.8
17-02-2019,164231.53
18-02-2019,247107.59
19-02-2019,74475.23
20-02-2019,219528.74
21-02-2019,152208.64
22-02-2019,178820.26
23-02-2019,198349.47
24-02-2019,234067.52
25-02-2019,199028.69
26-02-2019,202238.25
27-02-2019,213979.2
28-02-2019,198595.07
01-03-2019,252208.17
02-03-2019,359354.12
03-03-2019,412887.48
04-03-2019,295826.37
05-03-2019,246765.98
06-03-2019,225101.86
07-03-2019,209534.62
08-03-2019,187301.01
09-03-2019,204293.47
10-03-2019,222711.62
11-03-2019,226211.16
12-03-2019,222235.87
13-03-2019,309551.39
14-03-2019,250535.84
15-03-2019,276165.71
16-03-2019,272245.07
17-03-2019,373227.29
18-03-2019,246979.84
19-03-2019,203784.21
20-03-2019,153311.42
21-03-2019,160718.04
22-03-2019,183617.12
23-03-2019,174048.9
24-03-2019,191078.77
25-03-2019,232474.68
26-03-2019,216423.44
27-03-2019,203854.25
28-03-2019,187454.26
29-03-2019,188380.15
30-03-2019,212871.56
31-03-2019,236581.58
01-04-2019,272946.34
02-04-2019,246875.84
03-04-2019,244221.15
04-04-2019,280783.76
05-04-2019,243658
06-04-2019,219650.35
07-04-2019,237730.73
08-04-2019,208483.85
09-04-2019,196610.67
10-04-2019,199047.8
11-04-2019,182625.17
12-04-2019,197801.37
13-04-2019,215093.84
14-04-2019,234443.63
15-04-2019,305387.25
16-04-2019,411013.83
17-04-2019,352421.55
18-04-2019,246286.06
19-04-2019,256530.23
20-04-2019,225875.07
21-04-2019,232282.93
22-04-2019,285643.93
23-04-2019,223760.42
24-04-2019,233498.63
25-04-2019,242249.08
26-04-2019,231644.89
27-04-2019,225514.84
28-04-2019,240852.77
29-04-2019,232189.59
30-04-2019,196879.47
01-05-2019,180168.71
02-05-2019,167392.07
03-05-2019,202100.91
04-05-2019,170152.6
05-05-2019,208741.03
06-05-2019,226635.07
07-05-2019,223646.96
08-05-2019,185876.6
09-05-2019,162046.4
10-05-2019,159736.74
11-05-2019,158485.13
12-05-2019,199011.2
13-05-2019,225690.82
14-05-2019,189617.38
15-05-2019,242137.1
16-05-2019,195659.65
17-05-2019,256136.74
18-05-2019,184875.31
19-05-2019,231684.38
20-05-2019,237700.68
21-05-2019,175823.78
22-05-2019,224265.86
23-05-2019,205547.77
24-05-2019,185389.55
25-05-2019,163413.92
26-05-2019,177169.68
27-05-2019,196267.63
28-05-2019,183176.9
29-05-2019,246341.27
30-05-2019,227214.1
31-05-2019,213504.51
01-06-2019,292051.26
02-06-2019,264646.3
03-06-2019,250423.18
04-06-2019,210054.75
05-06-2019,222350.92
06-06-2019,216403.01
07-06-2019,298038.7
08-06-2019,212294.1
09-06-2019,314995.9
10-06-2019,263688.9
11-06-2019,218624.49
12-06-2019,210536.27
13-06-2019,219513.7
14-06-2019,235758.99
15-06-2019,287668.34
16-06-2019,315975.46
17-06-2019,261056.55
18-06-2019,209561.48
19-06-2019,230993.91
20-06-2019,227125.02
21-06-2019,168386.37
22-06-2019,318554.8
23-06-2019,417598.83
24-06-2019,204117.62
25-06-2019,227240.42
26-06-2019,211589.06
27-06-2019,217515.46
28-06-2019,215774.83
29-06-2019,197482.25
30-06-2019,239167.41
01-07-2019,198395.4
02-07-2019,198775.41
03-07-2019,181749.45
04-07-2019,158131.3
05-07-2019,246786.85
06-07-2019,231549.4
07-07-2019,236077.39
08-07-2019,265650.89
09-07-2019,242722.59
10-07-2019,239013.85
11-07-2019,228248.09
12-07-2019,208119.45
13-07-2019,198305.14
14-07-2019,239021.12
15-07-2019,697201.09
16-07-2019,513728.47
17-07-2019,285705.84
18-07-2019,225162.23
19-07-2019,227281.77
20-07-2019,212373.99
21-07-2019,233197.95
22-07-2019,191138.49
23-07-2019,210618.88
24-07-2019,216341.68
25-07-2019,200498.61
26-07-2019,211960.72
27-07-2019,193379.13
28-07-2019,214068.48
29-07-2019,223134.53
30-07-2019,217080.11
31-07-2019,226852.7
01-08-2019,227461.16
02-08-2019,230684.47
03-08-2019,258801.44
04-08-2019,243280.01
05-08-2019,228595.45
06-08-2019,205607.01
07-08-2019,226519.57
08-08-2019,250147.65
09-08-2019,162831.46
10-08-2019,204262.95
11-08-2019,185363.88
12-08-2019,230122.86
13-08-2019,231555.09
14-08-2019,220113.98
15-08-2019,263894.48
16-08-2019,215410.38
17-08-2019,256201.61
18-08-2019,259592.55
19-08-2019,233298.06
20-08-2019,234349.74
21-08-2019,218679.18
22-08-2019,208337.4
23-08-2019,218603.02
24-08-2019,218356.69
25-08-2019,236557.7
26-08-2019,244600.93
27-08-2019,173780.34
28-08-2019,227967.41
29-08-2019,242481.57
30-08-2019,226342.06
31-08-2019,228191.98
